# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3843
#@/user_id	b176f87b-293e-4035-b0c9-fd7cf4777bf9
a 	啊	c=5 d=0.603844 t=3843
bu zou xiao 	不奏效	c=1 d=0.00530026 t=3843
ca 	擦	c=2 d=0.242721 t=3843
ca huai 	擦壞	c=1 d=0.112478 t=3843
cai 	才	c=1 d=0.244143 t=3843
cai dan lan 	菜單欄	c=1 d=0.242926 t=3843
cai liao 	材料	c=3 d=0.975359 t=3843
can ji 	残基	c=1 d=1 t=3604
can ji 	殘疾	c=1 d=1 t=3603
can kao 	參考	c=1 d=0.927743 t=3843
can yu 	殘餘	c=1 d=1 t=3693
cao 	草	c=0 d=0.0960789 t=3843
cao ni ma 	草泥馬	c=1 d=0.909373 t=3843
cao zuo 	操作	c=3 d=1.79857 t=3843
cao zuo xi tong 	操作系統	c=1 d=9.05145e-05 t=3843
ce 	測	c=1 d=1 t=3515
ce liang 	測量	c=1 d=1 t=3681
ce lve 	策略	c=1 d=3.62526e-05 t=3843
ce shi 	測試	c=1 d=0.00218749 t=3843
cha 	插	c=2 d=0.000321909 t=3843
cha 	查	c=1 d=0.0137736 t=3843
cha jian 	插件	c=3 d=0.405186 t=3843
cha jin 	差勁	c=0 d=0.00584257 t=3843
chai 	拆	c=1 d=0.0120946 t=3843
chan 	產	c=1 d=1 t=3630
chan wu 	產物	c=2 d=1.83527 t=3672
chang 	常	c=1 d=4.34022e-05 t=3843
chang 	廠	c=1 d=0.0095616 t=3843
chang 	長	c=1 d=0.0155297 t=3843
chang de 	長得	c=1 d=0.329559 t=3843
chang jia 	廠家	c=1 d=0.0550232 t=3843
chao 	超	c=1 d=0.42564 t=3843
chao ji 	超級	c=1 d=0.00390694 t=3843
chao jia 	吵架	c=2 d=0.155499 t=3843
chao jian jie 	超簡介	c=1 d=0.0544757 t=3843
chao yue 	超越	c=1 d=1 t=3560
chen yu fan 	陈宇凡	c=1 d=0.400517 t=3843
chen yu fan 	陈羽凡	c=1 d=0.402524 t=3843
cheng 	成	c=2 d=0.0972957 t=3843
cheng ba 	稱霸	c=1 d=0.501576 t=3843
cheng du 	成都	c=1 d=0.726149 t=3843
cheng du 	程度	c=1 d=1 t=3843
cheng gong 	成功	c=2 d=0.0944202 t=3843
cheng le 	成了	c=1 d=0.0977834 t=3843
cheng xu 	程序	c=2 d=0.217641 t=3843
chi ba 	吃吧	c=1 d=0.0115047 t=3843
chi guo 	吃過	c=1 d=0.594521 t=3843
chi jing 	吃驚	c=1 d=0.158025 t=3843
chong qi 	重啓	c=5 d=0.062822 t=3843
chong tu 	衝突	c=1 d=0.000141955 t=3843
chong xin 	重新	c=1 d=0.000439444 t=3843
chu lai 	出來	c=1 d=0.00189223 t=3843
chu li 	處理	c=1 d=0.179964 t=3843
chu li shi qing 	處理事情	c=1 d=0.0925506 t=3843
chu qu 	出去	c=2 d=1.92312 t=3640
chu qu 	除去	c=2 d=1.87372 t=3692
chu shen 	出身	c=1 d=0.0699482 t=3843
chun 	春	c=1 d=0.847894 t=3843
chun se 	純色	c=1 d=0.878095 t=3843
ci 	次	c=7 d=1.36006 t=3843
ci dian 	詞典	c=2 d=1 t=3843
ci ku 	詞庫	c=6 d=3.76481 t=3843
ci pan 	磁盤	c=1 d=0.279431 t=3843
ci shu 	次數	c=2 d=0.104914 t=3843
cong 	從	c=2 d=0.000565253 t=3843
cong bu 	從不	c=1 d=0.0049667 t=3843
cu shi 	促使	c=1 d=1 t=3668
cui hua 	催化	c=1 d=2.19883e-05 t=3843
cun 	存	c=1 d=0.00479587 t=3843
cun bu nan xing 	寸步難行	c=1 d=0.408608 t=3843
cuo wu 	錯誤	c=1 d=0.0285814 t=3843
da 	大	c=7 d=0.704618 t=3843
da 	打	c=2 d=0.0470307 t=3843
da bao 	打包	c=2 d=0.00684592 t=3843
da bu fen 	大部分	c=2 d=0.612663 t=3843
da duan 	打斷	c=1 d=4.36198e-05 t=3843
da duo shu 	大多數	c=2 d=1.06372 t=3843
da fen zi 	大分子	c=7 d=2.65655 t=3843
da ge 	打個	c=0 d=0.0181772 t=3843
da ge zi 	打個字	c=2 d=0.377636 t=3843
da kai 	打開	c=3 d=0.01741 t=3843
da nao 	大腦	c=1 d=0.0963276 t=3843
da nao 	大鬧	c=2 d=0.257947 t=3843
da xiao 	大小	c=1 d=0.000539429 t=3843
da xue 	大學	c=3 d=0.918512 t=3843
da yu 	大於	c=1 d=0.557106 t=3843
da zai 	大哉	c=1 d=0.97531 t=3843
da zhe 	打折	c=1 d=0.0187793 t=3843
da zhi 	大致	c=1 d=0.900325 t=3843
da zu 	大足	c=1 d=0.718924 t=3843
dai er 	戴爾	c=1 d=0.704688 t=3843
dan 	但	c=2 d=9.93559e-05 t=3843
dan 	膽	c=1 d=0.798516 t=3843
dan ding 	淡定	c=2 d=1.41971 t=3843
dan shi 	但是	c=2 d=0.990386 t=3843
dan teng 	蛋疼	c=1 d=0.591555 t=3843
dan ti 	單體	c=7 d=1.77759 t=3843
dang cheng 	當成	c=1 d=0.000161662 t=3843
dang qian 	當前	c=1 d=0.00384878 t=3843
dang ran 	當然	c=1 d=0.299692 t=3843
dao 	到	c=6 d=0.0169373 t=3843
dao di 	到底	c=1 d=0.121238 t=3843
dao hui qu 	倒回去	c=1 d=0.000437252 t=3843
dao li 	道理	c=1 d=0.137381 t=3843
dao shi 	倒是	c=0 d=0.0537944 t=3843
dao shi hou 	到時候	c=1 d=0.000731802 t=3843
de 	地	c=2 d=1.23587 t=3843
de 	得	c=0 d=0.0343009 t=3843
de 	的	c=196 d=13.1021 t=3843
de le 	得了	c=1 d=0.045275 t=3843
de zhi 	得知	c=1 d=0.657047 t=3843
dei 	得	c=1 d=0.00786762 t=3843
deng 	等	c=1 d=0.0248475 t=3843
deng dao 	等到	c=1 d=0.255381 t=3843
deng lu 	登錄	c=4 d=0.00492085 t=3843
di 	地	c=0 d=0.0532592 t=3843
di 	迪	c=1 d=0.651025 t=3843
di er 	第二	c=0 d=3.82034e-05 t=3843
di er hang 	第二行	c=1 d=0.000383949 t=3843
di fang 	地方	c=4 d=0.84643 t=3843
di qiu 	地球	c=1 d=1 t=3557
di san dai 	第三代	c=1 d=0.392586 t=3843
di san fang 	第三方	c=2 d=0.644471 t=3843
di yi 	第一	c=0 d=3.83949e-05 t=3843
di yi ci 	第一次	c=1 d=1 t=3761
di yi lan 	第一欄	c=1 d=0.000385874 t=3843
